"" 0 "ns=1;i=292
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=119" EncoderIn 15758 Int32 "05/28/26 21:56:12.0970000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 174 "ns=1;i=118
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=118" PCONTESTENABLE false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 175 "ns=1;i=117
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=117" HorizontalStepHeader "[true, false, false, false, false, false, false, false]" Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 176 "ns=1;i=116
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=116" ConveyorAggregatedAlarm false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 177 "ns=1;i=115
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=115" MyPCONDriveEnable false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 178 "ns=1;i=114
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=114" ConveyorHomeComplete false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 179 "ns=1;i=113
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=113" ConveyorHomeRunning false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 180 "ns=1;i=112
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=112" ConveyorHomeCommand false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 181 "ns=1;i=111
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=111" HorizontalActuatorStartCommand false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 182 "ns=1;i=110
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=110" HorizontalActuatorStartRequest false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 183 "ns=1;i=109
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=109" HorizontalActuatorReady false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 184 "ns=1;i=108
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=108" HorizontalActuatorHomeComplete false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 185 "ns=1;i=107
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=107" HorizontalActuatorHomeRunning false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 186 "ns=1;i=106
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=106" HorizontalActuatorHomeTrigger false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 187 "ns=1;i=105
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=105" MyIAICommand "ExtensionObject [typeId=nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=10006, encodeType=Binary, object=[7] 0x00000000000000]" IAI_Command "05/28/26 21:56:12.0820000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 188 "ns=1;i=104
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=104" MyIAIStatus "ExtensionObject [typeId=nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=10005, encodeType=Binary, object=[32] 0x0000000000000000000000000000000000000000000000000000000000000000]" WORD "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 189 "ns=1;i=103
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=103" ClockUpdate false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 190 "ns=1;i=102
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=102" LoadStationHangerSensorDebounce false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 191 "ns=1;i=101
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=101" ManualModeBrakeControl false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 192 "ns=1;i=100
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=100" ManualModeStation2Online false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 193 "ns=1;i=99
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=99" ManualModeStation1Online false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 194 "ns=1;i=98
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=98" ManualModeConveyorReady false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 195 "ns=1;i=97
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=97" DriveJogREV false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 196 "ns=1;i=96
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=96" DriveJogFWD false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 197 "ns=1;i=95
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=95" Station2OffsetConfirm false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 198 "ns=1;i=94
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=94" Station2Active false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 199 "ns=1;i=93
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=93" Station1OffsetConfirm false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 200 "ns=1;i=92
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=92" Station1Active true Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 201 "ns=1;i=91
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=91" ResetButton false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 202 "ns=1;i=90
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=90" HSCUpdate false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 203 "ns=1;i=89
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=89" ResetEnc false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 204 "ns=1;i=88
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=88" Station2JogRev false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 205 "ns=1;i=87
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=87" Station2JogFwd false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 206 "ns=1;i=86
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=86" Station1JogRev false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 207 "ns=1;i=85
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=85" Station1JogFwd false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 208 "ns=1;i=84
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=84" StopPB false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 209 "ns=1;i=83
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=83" SlotRunRequest false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 210 "ns=1;i=82
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=82" RunRev true Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 211 "ns=1;i=81
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=81" SlotRunning false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 212 "ns=1;i=80
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=80" Pulse200ms false Boolean "05/28/26 21:56:12.0930000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 213 "ns=1;i=79
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=79" StartPulse false Boolean "05/28/26 21:56:12.0930000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 214 "ns=1;i=78
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=78" AlwaysOn true Boolean "05/28/26 21:56:12.0930000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 215 "ns=1;i=77
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=77" E700Out "ExtensionObject [typeId=nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=10004, encodeType=Binary, object=[18] 0x000000000000000000000000000000000000]" A7NETH-V2Out "05/28/26 21:56:12.0910000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 216 "ns=1;i=76
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=76" E700In "ExtensionObject [typeId=nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=10003, encodeType=Binary, object=[18] 0x000000000000000000000000000000000000]" A7NETH-V2In "05/28/26 21:56:12.0910000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 217 "ns=1;i=75
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=75" Drive2E800Out "ExtensionObject [typeId=nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=10002, encodeType=Binary, object=[48] 0x000000000000000000010000010100000000000000000000000000000000000001020000000000000800050006001700]" VFDOut "05/28/26 21:56:12.0850000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 218 "ns=1;i=74
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=74" Drive2E800In "ExtensionObject [typeId=nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=10001, encodeType=Binary, object=[48] 0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000]" VFDIn "05/28/26 21:56:12.0840000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 219 "ns=1;i=73
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=73" Drive1E800Out "ExtensionObject [typeId=nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=10002, encodeType=Binary, object=[48] 0x000000000000000000010000010100000000000000000000000000000000000001020000000000000800050006001700]" VFDOut "05/28/26 21:56:12.0850000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 220 "ns=1;i=72
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=72" Drive1E800In "ExtensionObject [typeId=nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=10001, encodeType=Binary, object=[48] 0x000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000]" VFDIn "05/28/26 21:56:12.0840000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 221 "ns=1;i=71
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=71" AlarmHorizontalDriveCommFault false Boolean "05/28/26 21:56:12.0820000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 222 "ns=1;i=70
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=70" AlarmInHorizontalDriveFault false Boolean "05/28/26 21:56:12.0820000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 223 "ns=1;i=69
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=69" AlarmConveyorHomeTimeout false Boolean "05/28/26 21:56:12.0820000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 224 "ns=1;i=68
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=68" AlarmEncoderFailure false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 225 "ns=1;i=67
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=67" AlarmConveyorHomeSensorError false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 226 "ns=1;i=66
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=66" AlarmConveyorCycleTimeout false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 227 "ns=1;i=65
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=65" AlarmHorizontalActuatorCycleTimeout false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 228 "ns=1;i=64
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=64" AlarmHorizontalActuatorDriveFault false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 229 "ns=1;i=63
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=63" AlarmResetting false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 230 "ns=1;i=62
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=62" AggregatedAlarm false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 231 "ns=1;i=61
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=61" MaintenanceRequired false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 232 "ns=1;i=60
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=60" ConveyorStationNotAquired false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 233 "ns=1;i=59
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=59" MCRDisengaged false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 234 "ns=1;i=58
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=58" InvalidConveyorID false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 235 "ns=1;i=57
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=57" EncoderFault false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 236 "ns=1;i=56
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=56" Drive4CommFault false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 237 "ns=1;i=55
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=55" Drive3CommFault false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 238 "ns=1;i=54
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=54" Drive2CommFault false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 239 "ns=1;i=53
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=53" Drive1CommFault false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 240 "ns=1;i=52
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=52" ESTOPStation2Pressed false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 241 "ns=1;i=51
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=51" ESTOPStation1Pressed false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 242 "ns=1;i=50
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=50" Drive4Fault false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 243 "ns=1;i=49
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=49" Drive3Fault false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 244 "ns=1;i=48
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=48" Drive2Fault false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 245 "ns=1;i=47
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=47" Drive1Fault false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 246 "ns=1;i=46
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=46" ESTOPStation4Pressed false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 247 "ns=1;i=45
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=45" ESTOPStation3Pressed false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 248 "ns=1;i=44
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=44" PLCLowBattery false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 249 "ns=1;i=43
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=43" Drive4NotInNetMode false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 250 "ns=1;i=42
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=42" Drive3NotInNetMode false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 251 "ns=1;i=41
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=41" Drive2NotInNetMode false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 252 "ns=1;i=40
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=40" Drive1NotInNetMode false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 253 "ns=1;i=39
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=39" Station2RunSwitchNotOFF false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 254 "ns=1;i=38
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=38" Station1RunSwitchNotOFF false Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 255 "ns=1;i=37
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=37" Station2SlotNotConfirmed false Boolean "05/28/26 21:56:12.0810000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 256 "ns=1;i=36
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=36" Station1SlotNotConfirmed true Boolean "05/28/26 21:56:12.0800000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 257 "ns=1;i=35
