"" 0 "ns=1;i=292
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=267" SlotID1 56 Int16 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 26 "ns=1;i=266
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=266" ConveyorID 0 Int16 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 27 "ns=1;i=265
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=265" NextMaintananceAt 0 Int16 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 28 "ns=1;i=264
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=264" TargetNum 0.0 Float "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 29 "ns=1;i=263
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=263" EncoderPulsesPerRev 2520.0 Float "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 30 "ns=1;i=262
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=262" FrameLength 12.0 Float "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 31 "ns=1;i=261
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=261" SlotsPerFrame 5 Int16 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 32 "ns=1;i=260
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=260" NumberToothSprocket 7 Int16 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 33 "ns=1;i=259
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=259" NumberFrames 20 Int16 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 34 "ns=1;i=258
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=258" NumberSlotsPerFrame 0 Int16 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 35 "ns=1;i=257
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=257" Station2Offset 0 Int16 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 36 "ns=1;i=256
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=256" Station1Offset 0 Int16 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 37 "ns=1;i=255
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=255" StopOffset 0 Int32 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 38 "ns=1;i=254
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=254" CreepOffsetInches 12.0 Float "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 39 "ns=1;i=253
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=253" CreepSpeed 15 Int16 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 40 "ns=1;i=252
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=252" RunSpeed 55 Int16 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 41 "ns=1;i=251
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=251" JogSpeed 55 Int16 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 42 "ns=1;i=250
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=250" VFDScalingFactor 0.98 Float "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 43 "ns=1;i=249
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=249" MaxSpeed 80 Int16 "05/28/26 21:56:12.1060000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 44 "ns=1;i=248
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=248" CalculatedStation2Shift 0 Int32 "05/28/26 21:56:12.1040000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 45 "ns=1;i=247
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=247" CalculatedStation1Shift 0 Int32 "05/28/26 21:56:12.1040000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 46 "ns=1;i=246
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=246" Station2OffsetCaptured 0 Int32 "05/28/26 21:56:12.1040000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 47 "ns=1;i=245
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=245" Station1OffsetCaptuted 0 Int32 "05/28/26 21:56:12.1040000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 48 "ns=1;i=244
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=244" CSFRAME_LOCREAL 10.943055 Float "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 49 "ns=1;i=243
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=243" CSSLAVE_POSREAL 15758.0 Float "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 50 "ns=1;i=242
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=242" CSFRAME_LOC 10 Int32 "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 51 "ns=1;i=241
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=241" CSSLAVE_POS 15758 Int32 "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 52 "ns=1;i=240
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=240" CSOFFSET1 15758 Int32 "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 53 "ns=1;i=239
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=239" CSLOC1 0 Int32 "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 54 "ns=1;i=238
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=238" MyCounter2 0 Int32 "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 55 "ns=1;i=237
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=237" MyCounter1 0 Int32 "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 56 "ns=1;i=236
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=236" MyIAIPosition 0 Int32 "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 57 "ns=1;i=235
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=235" MyAIACurrentPos 0 Int32 "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 58 "ns=1;i=234
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=234" ConveyorMode 0 Int16 "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 59 "ns=1;i=233
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=233" SlotPulsesAdder0Real 0.0 Float "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 60 "ns=1;i=232
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=232" SlotPulsesAdder9Real 0.0 Float "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 61 "ns=1;i=231
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=231" SlotPulsesAdder8Real 0.0 Float "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 62 "ns=1;i=230
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=230" SlotPulsesAdder7Real 0.0 Float "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 63 "ns=1;i=229
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=229" SlotPulsesAdder6Real 0.0 Float "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 64 "ns=1;i=228
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=228" SlotPulsesAdder5Real 0.0 Float "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 65 "ns=1;i=227
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=227" SlotPulsesAdder4Real 0.0 Float "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 66 "ns=1;i=226
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=226" SlotPulsesAdder3Real 0.0 Float "05/28/26 21:56:12.0790000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 67 "ns=1;i=225
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=225" SlotPulsesAdder2Real 0.0 Float "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 68 "ns=1;i=224
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=224" SlotPulsesAdder1Real 0.0 Float "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 69 "ns=1;i=223
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=223" SlotPulsesAdder0 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 70 "ns=1;i=222
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=222" SlotPulsesAdder9 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 71 "ns=1;i=221
